as_of_date,requested_as_of_date,effective_as_of_date,data_available_until,model_name,window_id,window_label,window_kind,window_target_days,window_start,actual_window_start,window_end,n_trading_days_in_window,partial_window,n_signal_days,n_selected_rows,notes,n_d1_eligible_rows,n_d1_pending_rows,d1_plus13_touch_rate,d1_minus2_touch_rate,d1_avg_close_return,d1_median_close_return,cum_d1_plus13_touch_rate,cum_d1_minus2_touch_rate,cum_d1_plus13_before_minus2_rate,cum_d1_minus2_before_plus13_rate,cum_d1_same_day_ambiguous_rate,n_d2_eligible_rows,n_d2_pending_rows,d2_plus13_touch_rate,d2_minus2_touch_rate,d2_avg_close_return,d2_median_close_return,cum_d2_plus13_touch_rate,cum_d2_minus2_touch_rate,cum_d2_plus13_before_minus2_rate,cum_d2_minus2_before_plus13_rate,cum_d2_same_day_ambiguous_rate,n_d3_eligible_rows,n_d3_pending_rows,d3_plus13_touch_rate,d3_minus2_touch_rate,d3_avg_close_return,d3_median_close_return,cum_d3_plus13_touch_rate,cum_d3_minus2_touch_rate,cum_d3_plus13_before_minus2_rate,cum_d3_minus2_before_plus13_rate,cum_d3_same_day_ambiguous_rate,n_d4_eligible_rows,n_d4_pending_rows,d4_plus13_touch_rate,d4_minus2_touch_rate,d4_avg_close_return,d4_median_close_return,cum_d4_plus13_touch_rate,cum_d4_minus2_touch_rate,cum_d4_plus13_before_minus2_rate,cum_d4_minus2_before_plus13_rate,cum_d4_same_day_ambiguous_rate,n_d5_eligible_rows,n_d5_pending_rows,d5_plus13_touch_rate,d5_minus2_touch_rate,d5_avg_close_return,d5_median_close_return,cum_d5_plus13_touch_rate,cum_d5_minus2_touch_rate,cum_d5_plus13_before_minus2_rate,cum_d5_minus2_before_plus13_rate,cum_d5_same_day_ambiguous_rate,n_h5_eligible_rows,n_h5_pending_rows,sample_status,cum_d5_avg_mfe_pct,cum_d5_avg_mae_pct,avg_ret_d5_close,median_ret_d5_close,zero_success_day_rate,one_success_day_rate,two_success_day_rate,three_success_day_rate,two_or_more_success_day_rate,delta_vs_longterm_cum_d5_plus13_touch_rate,delta_vs_longterm_cum_d5_minus2_touch_rate,delta_vs_longterm_cum_d5_plus13_before_minus2_rate,delta_vs_longterm_cum_d5_minus2_before_plus13_rate,delta_vs_baseline_model_cum_d5_plus13_touch_rate,delta_vs_baseline_model_cum_d5_minus2_touch_rate,delta_vs_baseline_model_cum_d5_plus13_before_minus2_rate,delta_vs_baseline_model_cum_d5_minus2_before_plus13_rate,audit_note
2025-04-02,2025-04-02,2025-04-02,2025-04-02,BASELINE_EOD_VALUE_TOP3,EXPANDING,누적,expanding,,2025-04-02,2025-04-02,2025-04-02,1,False,1,3,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,NO_LABELS,,,,,,,,,,,,,,,,,,zero denominator preserved as null rate
2025-04-02,2025-04-02,2025-04-02,2025-04-02,BASELINE_EOD_VALUE_TOP3,ROLLING_20TD,최근 1개월(20거래일),trading_days,20.0,2025-04-02,2025-04-02,2025-04-02,1,True,1,3,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,NO_LABELS,,,,,,,,,,,,,,,,,,partial window handled without error
2025-04-02,2025-04-02,2025-04-02,2025-04-02,BASELINE_EOD_VALUE_TOP3,ROLLING_60TD,최근 3개월(60거래일),trading_days,60.0,2025-04-02,2025-04-02,2025-04-02,1,True,1,3,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,NO_LABELS,,,,,,,,,,,,,,,,,,partial window handled without error
2025-04-02,2025-04-02,2025-04-02,2025-04-02,BASELINE_EOD_VALUE_TOP3,ROLLING_120TD,최근 6개월(120거래일),trading_days,120.0,2025-04-02,2025-04-02,2025-04-02,1,True,1,3,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,,,,,,,,,,0,3,NO_LABELS,,,,,,,,,,,,,,,,,,partial window handled without error
2025-04-30,2025-04-30,2025-04-30,2025-04-30,BASELINE_EOD_VALUE_TOP3,EXPANDING,누적,expanding,,2025-04-02,2025-04-02,2025-04-30,21,False,21,63,,60,3,70.0,46.666666666666664,1.0079793312272247,0.0,70.0,46.666666666666664,40.0,16.666666666666664,30.0,57,6,54.385964912280706,45.614035087719294,1.703893157129888,0.0,78.94736842105263,56.14035087719298,43.859649122807014,15.789473684210526,33.33333333333333,54,9,57.407407407407405,44.44444444444444,2.6154389427605156,0.22453749631012876,81.48148148148148,55.55555555555556,42.592592592592595,16.666666666666664,33.33333333333333,51,12,60.78431372549019,47.05882352941176,3.188291898973152,0.17953321364452268,86.27450980392157,62.745098039215684,49.01960784313725,15.686274509803921,33.33333333333333,48,15,52.083333333333336,50.0,2.647179002696335,-0.8034191316480865,87.5,64.58333333333334,52.083333333333336,14.583333333333334,33.33333333333333,48,15,MEDIUM_SAMPLE,15.277879420171935,-8.067007342451644,2.647179002696335,-0.8034191316480865,35.0,30.0,15.0,20.0,35.0,-1.8333333333333286,-7.174242424242408,6.143939393939398,-7.719696969696967,0.0,0.0,0.0,0.0,ok
2025-04-30,2025-04-30,2025-04-30,2025-04-30,BASELINE_EOD_VALUE_TOP3,ROLLING_20TD,최근 1개월(20거래일),trading_days,20.0,2025-04-03,2025-04-03,2025-04-30,20,False,20,60,,57,3,70.17543859649122,43.859649122807014,1.2069764089558506,0.0,70.17543859649122,43.859649122807014,42.10526315789473,15.789473684210526,28.07017543859649,54,6,57.407407407407405,42.592592592592595,2.295864121778529,0.0,79.62962962962963,53.70370370370371,46.2962962962963,14.814814814814813,31.48148148148148,51,9,60.78431372549019,41.17647058823529,3.6251533170262404,0.5328596802841812,82.35294117647058,52.94117647058824,45.09803921568628,15.686274509803921,31.372549019607842,48,12,64.58333333333334,43.75,4.1870152970456465,0.41258568655828665,87.5,60.416666666666664,52.083333333333336,14.583333333333334,31.25,45,15,55.55555555555556,46.666666666666664,3.9651248420554213,0.0,88.88888888888889,62.22222222222222,55.55555555555556,13.333333333333334,31.11111111111111,45,15,MEDIUM_SAMPLE,16.139948452178,-7.397536795292171,3.9651248420554213,0.0,31.57894736842105,31.57894736842105,15.789473684210526,21.052631578947366,36.84210526315789,-0.44444444444444287,-9.53535353535353,9.61616161616162,-8.969696969696967,0.0,0.0,0.0,0.0,ok
2025-04-30,2025-04-30,2025-04-30,2025-04-30,BASELINE_EOD_VALUE_TOP3,ROLLING_60TD,최근 3개월(60거래일),trading_days,60.0,2025-04-02,2025-04-02,2025-04-30,21,True,21,63,,60,3,70.0,46.666666666666664,1.0079793312272247,0.0,70.0,46.666666666666664,40.0,16.666666666666664,30.0,57,6,54.385964912280706,45.614035087719294,1.703893157129888,0.0,78.94736842105263,56.14035087719298,43.859649122807014,15.789473684210526,33.33333333333333,54,9,57.407407407407405,44.44444444444444,2.6154389427605156,0.22453749631012876,81.48148148148148,55.55555555555556,42.592592592592595,16.666666666666664,33.33333333333333,51,12,60.78431372549019,47.05882352941176,3.188291898973152,0.17953321364452268,86.27450980392157,62.745098039215684,49.01960784313725,15.686274509803921,33.33333333333333,48,15,52.083333333333336,50.0,2.647179002696335,-0.8034191316480865,87.5,64.58333333333334,52.083333333333336,14.583333333333334,33.33333333333333,48,15,MEDIUM_SAMPLE,15.277879420171935,-8.067007342451644,2.647179002696335,-0.8034191316480865,35.0,30.0,15.0,20.0,35.0,-1.8333333333333286,-7.174242424242408,6.143939393939398,-7.719696969696967,0.0,0.0,0.0,0.0,partial window handled without error
2025-04-30,2025-04-30,2025-04-30,2025-04-30,BASELINE_EOD_VALUE_TOP3,ROLLING_120TD,최근 6개월(120거래일),trading_days,120.0,2025-04-02,2025-04-02,2025-04-30,21,True,21,63,,60,3,70.0,46.666666666666664,1.0079793312272247,0.0,70.0,46.666666666666664,40.0,16.666666666666664,30.0,57,6,54.385964912280706,45.614035087719294,1.703893157129888,0.0,78.94736842105263,56.14035087719298,43.859649122807014,15.789473684210526,33.33333333333333,54,9,57.407407407407405,44.44444444444444,2.6154389427605156,0.22453749631012876,81.48148148148148,55.55555555555556,42.592592592592595,16.666666666666664,33.33333333333333,51,12,60.78431372549019,47.05882352941176,3.188291898973152,0.17953321364452268,86.27450980392157,62.745098039215684,49.01960784313725,15.686274509803921,33.33333333333333,48,15,52.083333333333336,50.0,2.647179002696335,-0.8034191316480865,87.5,64.58333333333334,52.083333333333336,14.583333333333334,33.33333333333333,48,15,MEDIUM_SAMPLE,15.277879420171935,-8.067007342451644,2.647179002696335,-0.8034191316480865,35.0,30.0,15.0,20.0,35.0,-1.8333333333333286,-7.174242424242408,6.143939393939398,-7.719696969696967,0.0,0.0,0.0,0.0,partial window handled without error
2025-05-09,2025-05-09,2025-05-09,2025-05-09,BASELINE_EOD_VALUE_TOP3,EXPANDING,누적,expanding,,2025-04-02,2025-04-02,2025-05-09,25,False,25,75,,72,3,68.05555555555556,44.44444444444444,0.4757848177145578,0.0,68.05555555555556,44.44444444444444,41.66666666666667,18.055555555555554,26.38888888888889,69,6,53.62318840579711,47.82608695652174,1.345073401335101,0.0,76.81159420289855,56.52173913043478,44.927536231884055,18.84057971014493,28.985507246376812,66,9,57.57575757575758,45.45454545454545,2.3314790756388994,0.08976660682226134,80.3030303030303,59.09090909090909,43.93939393939394,19.696969696969695,30.303030303030305,63,12,53.96825396825397,49.2063492063492,2.6612840531918596,-0.3616636528028905,82.53968253968253,68.25396825396825,46.03174603174603,22.22222222222222,30.158730158730158,60,15,48.333333333333336,51.66666666666667,2.05975545751927,-1.3381716322892756,85.0,71.66666666666667,48.333333333333336,20.0,31.666666666666664,60,15,MEDIUM_SAMPLE,13.832300935564778,-8.13435766869051,2.05975545751927,-1.3381716322892756,29.166666666666668,33.33333333333333,20.833333333333336,16.666666666666664,37.5,-4.333333333333329,-0.09090909090907928,2.393939393939398,-2.303030303030301,0.0,0.0,0.0,0.0,ok
2025-05-09,2025-05-09,2025-05-09,2025-05-09,BASELINE_EOD_VALUE_TOP3,ROLLING_20TD,최근 1개월(20거래일),trading_days,20.0,2025-04-09,2025-04-09,2025-05-09,20,False,20,60,,57,3,63.1578947368421,36.84210526315789,1.2041812708101671,0.08984725965857088,63.1578947368421,36.84210526315789,45.614035087719294,19.298245614035086,17.543859649122805,54,6,53.70370370370371,48.148148148148145,1.729881240296595,0.0,74.07407407407408,51.85185185185185,50.0,20.37037037037037,20.37037037037037,51,9,56.86274509803921,43.13725490196079,2.5116761813070196,0.0,78.43137254901961,54.90196078431373,49.01960784313725,21.568627450980394,21.568627450980394,48,12,52.083333333333336,50.0,2.205886103127974,-0.45971628855284163,81.25,64.58333333333334,52.083333333333336,25.0,20.833333333333336,45,15,46.666666666666664,51.11111111111111,0.5052486854778283,-1.2477718360071277,84.44444444444444,68.88888888888889,55.55555555555556,22.22222222222222,22.22222222222222,45,15,MEDIUM_SAMPLE,12.628530866343322,-7.474815776899331,0.5052486854778283,-1.2477718360071277,21.052631578947366,36.84210526315789,26.31578947368421,15.789473684210526,42.10526315789473,-4.888888888888886,-2.868686868686865,9.61616161616162,-0.08080808080807955,0.0,0.0,0.0,0.0,ok
2025-05-09,2025-05-09,2025-05-09,2025-05-09,BASELINE_EOD_VALUE_TOP3,ROLLING_60TD,최근 3개월(60거래일),trading_days,60.0,2025-04-02,2025-04-02,2025-05-09,25,True,25,75,,72,3,68.05555555555556,44.44444444444444,0.4757848177145578,0.0,68.05555555555556,44.44444444444444,41.66666666666667,18.055555555555554,26.38888888888889,69,6,53.62318840579711,47.82608695652174,1.345073401335101,0.0,76.81159420289855,56.52173913043478,44.927536231884055,18.84057971014493,28.985507246376812,66,9,57.57575757575758,45.45454545454545,2.3314790756388994,0.08976660682226134,80.3030303030303,59.09090909090909,43.93939393939394,19.696969696969695,30.303030303030305,63,12,53.96825396825397,49.2063492063492,2.6612840531918596,-0.3616636528028905,82.53968253968253,68.25396825396825,46.03174603174603,22.22222222222222,30.158730158730158,60,15,48.333333333333336,51.66666666666667,2.05975545751927,-1.3381716322892756,85.0,71.66666666666667,48.333333333333336,20.0,31.666666666666664,60,15,MEDIUM_SAMPLE,13.832300935564778,-8.13435766869051,2.05975545751927,-1.3381716322892756,29.166666666666668,33.33333333333333,20.833333333333336,16.666666666666664,37.5,-4.333333333333329,-0.09090909090907928,2.393939393939398,-2.303030303030301,0.0,0.0,0.0,0.0,partial window handled without error
2025-05-09,2025-05-09,2025-05-09,2025-05-09,BASELINE_EOD_VALUE_TOP3,ROLLING_120TD,최근 6개월(120거래일),trading_days,120.0,2025-04-02,2025-04-02,2025-05-09,25,True,25,75,,72,3,68.05555555555556,44.44444444444444,0.4757848177145578,0.0,68.05555555555556,44.44444444444444,41.66666666666667,18.055555555555554,26.38888888888889,69,6,53.62318840579711,47.82608695652174,1.345073401335101,0.0,76.81159420289855,56.52173913043478,44.927536231884055,18.84057971014493,28.985507246376812,66,9,57.57575757575758,45.45454545454545,2.3314790756388994,0.08976660682226134,80.3030303030303,59.09090909090909,43.93939393939394,19.696969696969695,30.303030303030305,63,12,53.96825396825397,49.2063492063492,2.6612840531918596,-0.3616636528028905,82.53968253968253,68.25396825396825,46.03174603174603,22.22222222222222,30.158730158730158,60,15,48.333333333333336,51.66666666666667,2.05975545751927,-1.3381716322892756,85.0,71.66666666666667,48.333333333333336,20.0,31.666666666666664,60,15,MEDIUM_SAMPLE,13.832300935564778,-8.13435766869051,2.05975545751927,-1.3381716322892756,29.166666666666668,33.33333333333333,20.833333333333336,16.666666666666664,37.5,-4.333333333333329,-0.09090909090907928,2.393939393939398,-2.303030303030301,0.0,0.0,0.0,0.0,partial window handled without error
2025-05-10,2025-05-10,2025-05-09,2025-05-09,BASELINE_EOD_VALUE_TOP3,EXPANDING,누적,expanding,,2025-04-02,2025-04-02,2025-05-09,25,False,25,75,,72,3,68.05555555555556,44.44444444444444,0.4757848177145578,0.0,68.05555555555556,44.44444444444444,41.66666666666667,18.055555555555554,26.38888888888889,69,6,53.62318840579711,47.82608695652174,1.345073401335101,0.0,76.81159420289855,56.52173913043478,44.927536231884055,18.84057971014493,28.985507246376812,66,9,57.57575757575758,45.45454545454545,2.3314790756388994,0.08976660682226134,80.3030303030303,59.09090909090909,43.93939393939394,19.696969696969695,30.303030303030305,63,12,53.96825396825397,49.2063492063492,2.6612840531918596,-0.3616636528028905,82.53968253968253,68.25396825396825,46.03174603174603,22.22222222222222,30.158730158730158,60,15,48.333333333333336,51.66666666666667,2.05975545751927,-1.3381716322892756,85.0,71.66666666666667,48.333333333333336,20.0,31.666666666666664,60,15,MEDIUM_SAMPLE,13.832300935564778,-8.13435766869051,2.05975545751927,-1.3381716322892756,29.166666666666668,33.33333333333333,20.833333333333336,16.666666666666664,37.5,-4.333333333333329,-0.09090909090907928,2.393939393939398,-2.303030303030301,0.0,0.0,0.0,0.0,weekend request mapped to prior trading day
2025-05-10,2025-05-10,2025-05-09,2025-05-09,BASELINE_EOD_VALUE_TOP3,ROLLING_20TD,최근 1개월(20거래일),trading_days,20.0,2025-04-09,2025-04-09,2025-05-09,20,False,20,60,,57,3,63.1578947368421,36.84210526315789,1.2041812708101671,0.08984725965857088,63.1578947368421,36.84210526315789,45.614035087719294,19.298245614035086,17.543859649122805,54,6,53.70370370370371,48.148148148148145,1.729881240296595,0.0,74.07407407407408,51.85185185185185,50.0,20.37037037037037,20.37037037037037,51,9,56.86274509803921,43.13725490196079,2.5116761813070196,0.0,78.43137254901961,54.90196078431373,49.01960784313725,21.568627450980394,21.568627450980394,48,12,52.083333333333336,50.0,2.205886103127974,-0.45971628855284163,81.25,64.58333333333334,52.083333333333336,25.0,20.833333333333336,45,15,46.666666666666664,51.11111111111111,0.5052486854778283,-1.2477718360071277,84.44444444444444,68.88888888888889,55.55555555555556,22.22222222222222,22.22222222222222,45,15,MEDIUM_SAMPLE,12.628530866343322,-7.474815776899331,0.5052486854778283,-1.2477718360071277,21.052631578947366,36.84210526315789,26.31578947368421,15.789473684210526,42.10526315789473,-4.888888888888886,-2.868686868686865,9.61616161616162,-0.08080808080807955,0.0,0.0,0.0,0.0,weekend request mapped to prior trading day
2025-05-10,2025-05-10,2025-05-09,2025-05-09,BASELINE_EOD_VALUE_TOP3,ROLLING_60TD,최근 3개월(60거래일),trading_days,60.0,2025-04-02,2025-04-02,2025-05-09,25,True,25,75,,72,3,68.05555555555556,44.44444444444444,0.4757848177145578,0.0,68.05555555555556,44.44444444444444,41.66666666666667,18.055555555555554,26.38888888888889,69,6,53.62318840579711,47.82608695652174,1.345073401335101,0.0,76.81159420289855,56.52173913043478,44.927536231884055,18.84057971014493,28.985507246376812,66,9,57.57575757575758,45.45454545454545,2.3314790756388994,0.08976660682226134,80.3030303030303,59.09090909090909,43.93939393939394,19.696969696969695,30.303030303030305,63,12,53.96825396825397,49.2063492063492,2.6612840531918596,-0.3616636528028905,82.53968253968253,68.25396825396825,46.03174603174603,22.22222222222222,30.158730158730158,60,15,48.333333333333336,51.66666666666667,2.05975545751927,-1.3381716322892756,85.0,71.66666666666667,48.333333333333336,20.0,31.666666666666664,60,15,MEDIUM_SAMPLE,13.832300935564778,-8.13435766869051,2.05975545751927,-1.3381716322892756,29.166666666666668,33.33333333333333,20.833333333333336,16.666666666666664,37.5,-4.333333333333329,-0.09090909090907928,2.393939393939398,-2.303030303030301,0.0,0.0,0.0,0.0,weekend request mapped to prior trading day
2025-05-10,2025-05-10,2025-05-09,2025-05-09,BASELINE_EOD_VALUE_TOP3,ROLLING_120TD,최근 6개월(120거래일),trading_days,120.0,2025-04-02,2025-04-02,2025-05-09,25,True,25,75,,72,3,68.05555555555556,44.44444444444444,0.4757848177145578,0.0,68.05555555555556,44.44444444444444,41.66666666666667,18.055555555555554,26.38888888888889,69,6,53.62318840579711,47.82608695652174,1.345073401335101,0.0,76.81159420289855,56.52173913043478,44.927536231884055,18.84057971014493,28.985507246376812,66,9,57.57575757575758,45.45454545454545,2.3314790756388994,0.08976660682226134,80.3030303030303,59.09090909090909,43.93939393939394,19.696969696969695,30.303030303030305,63,12,53.96825396825397,49.2063492063492,2.6612840531918596,-0.3616636528028905,82.53968253968253,68.25396825396825,46.03174603174603,22.22222222222222,30.158730158730158,60,15,48.333333333333336,51.66666666666667,2.05975545751927,-1.3381716322892756,85.0,71.66666666666667,48.333333333333336,20.0,31.666666666666664,60,15,MEDIUM_SAMPLE,13.832300935564778,-8.13435766869051,2.05975545751927,-1.3381716322892756,29.166666666666668,33.33333333333333,20.833333333333336,16.666666666666664,37.5,-4.333333333333329,-0.09090909090907928,2.393939393939398,-2.303030303030301,0.0,0.0,0.0,0.0,weekend request mapped to prior trading day
