d0_date,version_key,version_label_ko,candidate_count,green_count,yellow_count,orange_count,red_count,avg_traffic_score,avg_max_up,avg_max_down,avg_d1_close,avg_lunch_1200,best_rank1_light,green_rate,red_rate
2025-09-01,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,1,1,1.3333333333333333,2.650866434344868,-2.415616494125832,0.8620420264667287,1.0056742893287325,🟠,0.3333333333333333,0.3333333333333333
2025-09-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,0.6666666666666666,2.0865121227250447,-2.2426649124545284,-0.2533131770085554,-0.5583567074941564,🟢,0.6666666666666666,0.3333333333333333
2025-09-03,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,1,0,2.333333333333333,3.780180088480845,-1.495708876426612,1.1359953974467578,1.1122755749243336,🟢,0.6666666666666666,0.0
2025-09-04,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,1,0,2.0,15.864371549376935,-1.876446523695711,4.361752840717244,0.5122540181871305,🟠,0.6666666666666666,0.0
2025-09-05,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,6.333333333333333,12.23513371125054,-0.3067508107236846,2.0806761544424144,1.984370477723056,🟢,1.0,0.0
2025-09-08,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,6.333333333333333,6.061573195509151,-0.602581693076413,1.615098652153361,1.640466737860528,🟢,1.0,0.0
2025-09-09,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,1,1,0.6666666666666666,12.681317305349944,-1.7947399632300003,7.249747256546539,7.027072448226723,🟠,0.3333333333333333,0.3333333333333333
2025-09-10,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,1,0,0,3.333333333333333,5.766283198247868,-0.5778550777357172,-0.3140784443004585,0.2321840648410289,🟢,0.6666666666666666,0.0
2025-09-11,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,0.0,4.8991847404862,-4.408468257368437,0.6501655475211384,1.0165134215897895,🟢,0.6666666666666666,0.3333333333333333
2025-09-12,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,3.6666666666666665,8.172543173257322,-6.414116507729632,2.070565167061652,1.107204966682725,🔴,0.6666666666666666,0.3333333333333333
2025-09-15,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,6.0,6.631547292407447,-1.2487186346369767,1.1952373689233964,0.7763624612139234,🟢,1.0,0.0
2025-09-16,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,1.6666666666666667,7.764982841361217,-7.262088220667503,-1.5633490911516112,-0.9084902544881516,🔴,0.6666666666666666,0.3333333333333333
2025-09-17,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,-0.6666666666666666,5.702414628348367,-7.371209011850499,-2.0959890499877822,-1.9269917323304115,🔴,0.6666666666666666,0.3333333333333333
2025-09-18,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-4.0,2.6879178766799456,-5.028001071006634,-0.6807471688153469,-2.1075810824881898,🟢,0.3333333333333333,0.6666666666666666
2025-09-19,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,1.0,5.061501170519304,-6.477289683082007,0.451565544572378,-0.3002413174299241,🔴,0.0,1.0
2025-09-22,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-8.333333333333334,1.9051133878169144,-7.313265579525701,-2.364085683548859,-2.1535173235423755,🔴,0.0,1.0
2025-09-23,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-1.0,6.196731368356086,-6.105385601953106,1.6046137670851686,-0.1619416379141795,🔴,0.3333333333333333,0.6666666666666666
2025-09-24,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-2.333333333333333,5.679941964201792,-4.245630718730446,-0.1343602667577122,-0.8078431666290667,🔴,0.0,1.0
2025-09-25,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,1.3333333333333333,3.824241440294866,-3.021484114971077,-0.1621775591228225,0.0112670725285276,🟢,0.6666666666666666,0.3333333333333333
2025-09-26,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,0.3333333333333333,7.694982181376772,-2.5361934376614754,-0.4265371381937795,-1.0190217391304324,🟢,0.6666666666666666,0.3333333333333333
2025-09-29,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.0,8.428017107126033,-1.697708057621335,0.4837688852452356,0.2367779597180967,🟢,1.0,0.0
2025-09-30,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,0.3333333333333333,14.07955574622241,-2.77134277134277,0.1711235044568382,1.4137947471280796,🟢,0.6666666666666666,0.3333333333333333
2025-10-01,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,2.0,6.7589306040784685,-4.065364007634686,0.3891500218864752,0.5013491359141161,🟢,0.3333333333333333,0.6666666666666666
2025-10-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,3.6666666666666665,13.87659960429914,-3.1288095607344397,2.273987602626101,1.247938078923997,🟢,0.6666666666666666,0.3333333333333333
2025-10-10,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-3.6666666666666665,7.5951284123396015,-6.656018618485031,0.1355622553904719,-0.1129418254129932,🟢,0.3333333333333333,0.6666666666666666
2025-10-13,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,1.0,12.12577238764659,-2.4898516118028327,0.0954982829180495,1.3381863465303827,🔴,0.6666666666666666,0.3333333333333333
2025-10-14,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,5.666666666666667,17.906138861602617,-2.690233588194191,4.951995211082331,3.82138903417942,🔴,0.6666666666666666,0.3333333333333333
2025-10-15,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-8.666666666666666,1.3157406381617551,-7.98718169248603,-3.01694789839784,-1.8838196207592453,🔴,0.0,1.0
2025-10-16,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-5.666666666666667,3.96229375476973,-5.104155198716643,-2.744301973498457,-2.143750862826717,🟢,0.3333333333333333,0.6666666666666666
2025-10-17,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.333333333333333,8.428414032416876,-2.6932085737366207,1.9050412182092025,1.844139931120144,🟢,1.0,0.0
2025-10-20,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-1.3333333333333333,5.267451242203322,-5.443939862598298,-1.2904533330047894,-0.99147427914551,🔴,0.3333333333333333,0.6666666666666666
2025-10-21,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,1,1,-1.0,5.104210762177575,-2.818466553362701,0.9456904002806632,0.4191834110196006,🔴,0.3333333333333333,0.3333333333333333
2025-10-22,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.333333333333333,4.864039242241147,-2.3646936051638847,0.1182685410669385,1.1671060860925917,🟢,1.0,0.0
2025-10-23,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-0.6666666666666666,10.247090782485545,-2.539864138715897,1.4699533579154582,1.420480976932737,🔴,0.3333333333333333,0.6666666666666666
2025-10-24,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,3.333333333333333,19.64153649643937,-0.6536100136572021,8.728508194322508,3.264651009657589,🔴,0.6666666666666666,0.3333333333333333
2025-10-27,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,6.333333333333333,11.74967964705136,-1.5247447037184243,2.5414107391579237,0.8268194751298622,🟢,1.0,0.0
2025-10-28,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,2.0,10.261436670421498,-1.2995558182255953,3.738524321954895,2.4413777155900838,🟢,0.6666666666666666,0.3333333333333333
2025-10-29,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,2.0,19.54028231519703,-5.532645450624692,1.5986617919791577,2.0086445554012253,🟢,0.3333333333333333,0.6666666666666666
2025-10-30,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,0.0,18.865099465333245,-4.935125657510231,0.7272550165595174,0.5733272723337013,🔴,0.6666666666666666,0.3333333333333333
2025-10-31,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,5.0,18.82722981229085,-2.2772570405025525,9.607218950107796,6.55231181522502,🔴,0.6666666666666666,0.3333333333333333
2025-11-03,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-1.6666666666666667,6.956978388435417,-9.395950833618878,2.854534380171343,1.8779019037102884,🔴,0.0,1.0
2025-11-04,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-11.0,7.474964639728579,-11.874233617791964,-3.451925859364291,-5.318486172501943,🔴,0.0,1.0
2025-11-05,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,3.333333333333333,15.114314244216208,-5.4850669223918525,-0.3366110754065898,1.3025226925787114,🔴,0.3333333333333333,0.6666666666666666
2025-11-06,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-8.666666666666666,6.816829983414056,-6.093207748284125,-2.987399127262458,-3.448828066073006,🔴,0.0,1.0
2025-11-07,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,5.0,8.363111984574298,-2.766061908538394,2.6627765494897795,1.9219593707865263,🟢,0.6666666666666666,0.3333333333333333
2025-11-10,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,0.3333333333333333,6.890164342994527,-2.3304780828067195,-0.8510524584085596,-0.5027744327959308,🟢,0.6666666666666666,0.3333333333333333
2025-11-11,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,4.333333333333333,3.745835930884178,-2.40975252621181,0.9953251407544512,0.6745372783360182,🔴,0.6666666666666666,0.3333333333333333
2025-11-12,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-0.3333333333333333,5.092589107514519,-7.658416583258041,1.2152788440974966,0.6878316447319991,🔴,0.3333333333333333,0.6666666666666666
2025-11-13,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,2.6666666666666665,8.770963123568983,-4.11958645213798,1.0759806223788952,1.5391359502674415,🔴,0.6666666666666666,0.3333333333333333
2025-11-14,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-4.0,5.806025990721879,-6.937046629220152,-0.4606962869602863,-0.306818900371042,🔴,0.0,1.0
2025-11-17,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-9.0,6.110896527348449,-9.294259780915068,-3.238076366732745,-2.874533382928941,🔴,0.0,1.0
2025-11-18,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-6.0,2.281681433922881,-11.498824394878383,-1.08265335828814,0.5559491632623962,🔴,0.0,1.0
2025-11-19,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,4.0,7.181193150817696,-7.069488763211233,2.905426873820227,5.08599124302489,🔴,0.3333333333333333,0.6666666666666666
2025-11-20,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-13.333333333333334,-0.8726526237283316,-11.22832808612492,-5.5676772004248924,-5.942207349312096,🔴,0.0,1.0
2025-11-21,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-4.333333333333333,4.582611016895929,-6.450301488599963,-1.226807361346649,0.2415363356573034,🟢,0.3333333333333333,0.6666666666666666
2025-11-24,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,2.0,6.2041235540216455,-5.599455486550959,-0.7151707623965035,0.5064194380062004,🟢,0.3333333333333333,0.6666666666666666
2025-11-25,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,1.6666666666666667,4.905462674448195,-4.566091679133478,2.429706958614789,2.114363630857604,🟢,0.3333333333333333,0.6666666666666666
2025-11-26,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-1.3333333333333333,2.6937180568928683,-8.92218795050959,-0.5733006992299025,0.5986009663851396,🔴,0.0,1.0
2025-11-27,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-10.0,1.0236407289693068,-9.179988496764713,-2.8483525034180985,-2.8964630552931747,🔴,0.0,1.0
2025-11-28,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-10.0,5.795032533515209,-5.989859554454313,-3.657301631402088,-3.67087552827872,🔴,0.0,1.0
2025-12-01,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,6.333333333333333,14.46590649772792,-0.6158996767488285,3.5929393466541595,2.103165350234681,🟢,1.0,0.0
2025-12-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,7.0,14.0952803309627,-0.0643151650516723,3.407463955596324,2.76685897084945,🟢,1.0,0.0
2025-12-03,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,1,0,1,0.3333333333333333,8.186975665529351,-2.9366657559376512,-1.0144057004154328,-2.348524200683348,🔴,0.3333333333333333,0.3333333333333333
2025-12-04,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.333333333333333,11.48456130170301,-0.8640283778225676,4.410234523236441,1.1569747682143212,🟢,1.0,0.0
2025-12-05,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,1.3333333333333333,7.4073467115878175,-4.787338446249919,0.6910282269038226,0.3075856094909457,🟢,0.6666666666666666,0.3333333333333333
2025-12-08,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,1,0,3.6666666666666665,7.159746959404068,-0.6719747300739912,0.7554758055510091,0.1660102651808122,🟢,0.6666666666666666,0.0
2025-12-09,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-1.0,11.128942925397546,-3.68168329881818,-1.0322552743230944,-0.2222889640243567,🔴,0.3333333333333333,0.6666666666666666
2025-12-10,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,3.0,2.7469569749471496,-1.67672675882425,-0.9570233571064976,-0.3089193583490135,🟢,1.0,0.0
2025-12-11,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,1.6666666666666667,2.800242248231951,-4.0070460875702425,1.3825967093056242,1.011895339098808,🔴,0.6666666666666666,0.3333333333333333
2025-12-12,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-2.0,3.763535878448051,-3.959754431337596,1.1394397644718723,0.1332273661670583,🔴,0.3333333333333333,0.6666666666666666
2025-12-15,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-2.6666666666666665,5.047600408881607,-4.526342030060803,-0.7587038916834321,-0.6948425133828318,🔴,0.3333333333333333,0.6666666666666666
2025-12-16,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-2.6666666666666665,6.428370087000125,-3.6207563444299873,-0.6213862669529872,-0.3924942892101546,🔴,0.3333333333333333,0.6666666666666666
2025-12-17,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,3.333333333333333,6.563534879833077,-1.7927504636679987,-0.0009648770953329,-0.4268891948927693,🟢,1.0,0.0
2025-12-18,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.666666666666667,11.358778475027664,-1.2167994077649384,2.4423826607513157,1.395910558830708,🟢,1.0,0.0
2025-12-19,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.666666666666667,4.0232354680000375,-2.2250301854416934,2.05730144276454,2.032236472610601,🟢,1.0,0.0
2025-12-22,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,3,0,0,0,5.333333333333333,25.54911482170836,-2.457721890790765,12.302665115101668,0.0114895832744192,🟢,1.0,0.0
2025-12-23,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,3.6666666666666665,6.9795430649734,-3.1465888879281736,0.4068000137430842,1.0162430651525185,🔴,0.6666666666666666,0.3333333333333333
2025-12-24,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-4.333333333333333,4.801786895432151,-3.9703336168332695,-2.182643039817178,-2.1528894299127894,🔴,0.0,1.0
2025-12-26,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,2.6666666666666665,8.297747914881706,-4.327464067684676,3.916322925699464,3.1718815810662417,🟢,0.3333333333333333,0.6666666666666666
2025-12-29,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,1,0,2,-1.3333333333333333,4.580502182423607,-10.63774017909373,-0.5917292894748682,-0.0777347792827232,🔴,0.0,0.6666666666666666
2025-12-30,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,1,0,0,2,-6.0,2.9776098370195787,-11.205250514308892,-2.009339226645327,-2.9728604008023645,🔴,0.3333333333333333,0.6666666666666666
2026-01-02,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,3.0,7.140931344351423,-5.18484945480881,1.7471558011049977,0.9799502165914372,🟢,0.6666666666666666,0.3333333333333333
2026-01-05,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,2,0,0,1,0.3333333333333333,20.87353371107796,-3.5544713411867748,1.8283344704637328,2.074506781796992,🟢,0.6666666666666666,0.3333333333333333
2026-01-06,HYBRID_D0_RISK_FILTER,벨가드 안정후보,3,0,0,0,3,-1.0,8.092269520184011,-5.058748630309648,-0.4060741590766525,-0.929019021523192,🔴,0.0,1.0
