strategy,source_strategy,rule,rule_name,display_rule,raw_rule,sample_n,win_rate,avg_return,median_return,profit_factor,stop_loss_rate,target_exit_rate,profit_protect_exit_rate,recommendation_tag
BELLGUARD,D0_STRICT_3D_BELLGUARD_TOP3,G_ACCT_TP1_SL3_RAW_TP1P3_SL2P7,즉시익절 비교,계좌 +1 즉시 / -3,raw +1.3 즉시 / -2.7,755,64.50331125827815,-0.1198675496688742,1.3,0.8749309010503044,35.496688741721854,64.50331125827815,0.0,baseline
BELLGUARD,D0_STRICT_3D_BELLGUARD_TOP3,A2_ACCT_TP4_PROT2_SL3_RAW_TP4P3_PROT2P3_SL2P7,기대형,계좌 +4 / +2보전 / -3,raw +4.3 / +2.3보전 / -2.7,755,55.76158940397351,0.4426923417447276,2.3,1.3709324873924364,44.10596026490066,17.748344370860927,37.615894039735096,메인 비교
BELLGUARD,D0_STRICT_3D_BELLGUARD_TOP3,B_ACCT_TP3_TRG1P5_PROT1_SL3_RAW_TP3P3_TRG1P8_PROT1P3_SL2P7,중간형,계좌 +3 / +1.5발동 / +1보전 / -3,raw +3.3 / +1.8발동 / +1.3보전 / -2.7,755,59.47019867549669,0.2122373717698999,1.3,1.1941209306744898,40.397350993377486,26.62251655629139,32.847682119205295,보조 비교
BELLGUARD,D0_STRICT_3D_BELLGUARD_TOP3,D_ACCT_TP2_TRG1P5_PROT1_SL3_RAW_TP2P3_TRG1P8_PROT1P3_SL2P7,소익절 중간형,계좌 +2 / +1.5발동 / +1보전 / -3,raw +2.3 / +1.8발동 / +1.3보전 / -2.7,755,59.47019867549669,0.0943565770679131,1.3,1.0863023623169477,40.397350993377486,41.4569536423841,18.013245033112582,보조 비교
BELLGUARD,D0_STRICT_3D_BELLGUARD_TOP3,C_ACCT_TP3_TRG1_PROT0P5_SL3_RAW_TP3P3_TRG1P3_PROT0P8_SL2P7,보수형,계좌 +3 / +1발동 / +0.5보전 / -3,raw +3.3 / +1.3발동 / +0.8보전 / -2.7,755,64.50331125827815,0.2470917098176565,0.8,1.257814042167401,35.496688741721854,27.549668874172184,36.82119205298014,추천 비교
BELLGUARD,D0_STRICT_3D_BELLGUARD_TOP3,E_ACCT_TP2_TRG1_PROT0P5_SL3_RAW_TP2P3_TRG1P3_PROT0P8_SL2P7,소익절형,계좌 +2 / +1발동 / +0.5보전 / -3,raw +2.3 / +1.3발동 / +0.8보전 / -2.7,755,64.50331125827815,0.1298013245033111,0.8,1.1354339414040913,35.496688741721854,38.145695364238414,26.35761589403974,추천 비교
P0_VALUE,P0_VALUE_20D,G_ACCT_TP1_SL3_RAW_TP1P3_SL2P7,즉시익절 비교,계좌 +1 즉시 / -3,raw +1.3 즉시 / -2.7,756,69.70899470899471,0.0947966796275535,1.3,1.1168280917833513,29.761904761904763,69.70899470899471,0.0,baseline
P0_VALUE,P0_VALUE_20D,A2_ACCT_TP4_PROT2_SL3_RAW_TP4P3_PROT2P3_SL2P7,기대형,계좌 +4 / +2보전 / -3,raw +4.3 / +2.3보전 / -2.7,756,58.994708994709,0.5360772301140679,2.3,1.488140296118072,40.21164021164021,14.02116402116402,44.44444444444444,메인 비교
P0_VALUE,P0_VALUE_20D,B_ACCT_TP3_TRG1P5_PROT1_SL3_RAW_TP3P3_TRG1P8_PROT1P3_SL2P7,중간형,계좌 +3 / +1.5발동 / +1보전 / -3,raw +3.3 / +1.8발동 / +1.3보전 / -2.7,756,63.888888888888886,0.4317533141332077,1.3,1.4462173098117286,35.44973544973545,28.439153439153444,35.44973544973545,보조 비교
P0_VALUE,P0_VALUE_20D,D_ACCT_TP2_TRG1P5_PROT1_SL3_RAW_TP2P3_TRG1P8_PROT1P3_SL2P7,소익절 중간형,계좌 +2 / +1.5발동 / +1보전 / -3,raw +2.3 / +1.8발동 / +1.3보전 / -2.7,756,63.888888888888886,0.2928644252443187,1.3,1.30267555961773,35.44973544973545,42.98941798941799,20.8994708994709,보조 비교
P0_VALUE,P0_VALUE_20D,C_ACCT_TP3_TRG1_PROT0P5_SL3_RAW_TP3P3_TRG1P3_PROT0P8_SL2P7,보수형,계좌 +3 / +1발동 / +0.5보전 / -3,raw +3.3 / +1.3발동 / +0.8보전 / -2.7,756,69.70899470899471,0.4567364993181003,0.8,1.5628852600406058,29.761904761904763,28.306878306878307,41.13756613756614,추천 비교
P0_VALUE,P0_VALUE_20D,E_ACCT_TP2_TRG1_PROT0P5_SL3_RAW_TP2P3_TRG1P3_PROT0P8_SL2P7,소익절형,계좌 +2 / +1발동 / +0.5보전 / -3,raw +2.3 / +1.3발동 / +0.8보전 / -2.7,756,69.70899470899471,0.3236326584635323,0.8,1.3988471545165575,29.761904761904763,38.49206349206349,31.21693121693121,추천 비교
V2,V2_SCORE_3D,G_ACCT_TP1_SL3_RAW_TP1P3_SL2P7,즉시익절 비교,계좌 +1 즉시 / -3,raw +1.3 즉시 / -2.7,725,62.89655172413793,-0.1841379310344827,1.3,0.8161916563403554,37.103448275862064,62.89655172413793,0.0,baseline
V2,V2_SCORE_3D,A2_ACCT_TP4_PROT2_SL3_RAW_TP4P3_PROT2P3_SL2P7,기대형,계좌 +4 / +2보전 / -3,raw +4.3 / +2.3보전 / -2.7,725,56.68965517241379,0.5427586206896552,2.3,1.4641424864354802,43.310344827586206,20.41379310344828,36.27586206896552,메인 비교
V2,V2_SCORE_3D,B_ACCT_TP3_TRG1P5_PROT1_SL3_RAW_TP3P3_TRG1P8_PROT1P3_SL2P7,중간형,계좌 +3 / +1.5발동 / +1보전 / -3,raw +3.3 / +1.8발동 / +1.3보전 / -2.7,725,59.44827586206897,0.2572413793103448,1.3,1.234945830183926,40.55172413793103,28.965517241379317,30.48275862068965,보조 비교
V2,V2_SCORE_3D,D_ACCT_TP2_TRG1P5_PROT1_SL3_RAW_TP2P3_TRG1P8_PROT1P3_SL2P7,소익절 중간형,계좌 +2 / +1.5발동 / +1보전 / -3,raw +2.3 / +1.8발동 / +1.3보전 / -2.7,725,59.44827586206897,0.1151724137931033,1.3,1.105190224237844,40.55172413793103,43.72413793103448,15.724137931034482,보조 비교
V2,V2_SCORE_3D,C_ACCT_TP3_TRG1_PROT0P5_SL3_RAW_TP3P3_TRG1P3_PROT0P8_SL2P7,보수형,계좌 +3 / +1발동 / +0.5보전 / -3,raw +3.3 / +1.3발동 / +0.8보전 / -2.7,725,62.89655172413793,0.2599999999999999,0.8,1.2595346275643675,37.103448275862064,30.344827586206897,32.55172413793103,추천 비교
V2,V2_SCORE_3D,E_ACCT_TP2_TRG1_PROT0P5_SL3_RAW_TP2P3_TRG1P3_PROT0P8_SL2P7,소익절형,계좌 +2 / +1발동 / +0.5보전 / -3,raw +2.3 / +1.3발동 / +0.8보전 / -2.7,725,62.89655172413793,0.1096551724137929,0.8,1.109458901280463,37.103448275862064,40.55172413793103,22.344827586206897,추천 비교
